info.name,Di,Df,Dif,Crystalnet,Density
DB0-m2_o1_o3_f0_pcu_repeat,10.23046,7.47576,10.22423,pcu,0.535839
DB0-m2_o1_o3_f0_nbo.sym.86_repeat,16.32709,6.74454,16.32709,nbo,0.440847
DB0-m2_o1_o3_f0_pcu.sym.17_repeat,8.87481,7.1834,8.87481,pcu,0.629679
DB0-m2_o1_o2_f0_pcu.sym.2_repeat,8.37934,7.0218,8.37934,pcu,0.803512
DB0-m2_o1_o3_f0_nbo.sym.79_repeat,16.71674,10.34149,16.7155,nbo,0.381318
DB0-m2_o1_o3_f0_nbo.sym.105_repeat,16.23611,10.5034,16.23611,nbo,0.374477
DB0-m2_o1_o3_f0_nbo.sym.52_repeat,14.46251,7.39239,14.45926,nbo,0.442255
DB0-m2_o1_o3_f0_nbo.sym.30_repeat,16.3207,10.56231,16.3207,nbo,0.373031
DB0-m2_o1_o3_f0_nbo.sym.16_repeat,16.24716,10.51336,16.24716,nbo,0.375423
DB0-m2_o1_o3_f0_nbo.sym.108_repeat,15.19149,10.02221,15.19149,nbo,0.481678
DB0-m2_o1_o3_f0_nbo.sym.21_repeat,16.13961,10.39689,15.58291,nbo,0.334195
DB0-m2_o1_o3_f0_nbo.sym.74_repeat,16.25028,10.41849,16.25028,nbo,0.369559
DB0-m2_o1_o3_f0_nbo.sym.43_repeat,14.29235,5.57977,14.29235,nbo,0.470065
DB0-m2_o1_o2_f0_pcu.sym.10_repeat,9.14051,7.47445,9.14051,pcu,1.30938
DB0-m2_o1_o3_f0_nbo.sym.68_repeat,16.20707,6.80202,16.20707,nbo,0.591334
DB0-m2_o1_o3_f0_nbo.sym.97_repeat,12.7759,7.11215,12.7759,nbo,0.50702
DB0-m2_o1_o3_f0_pcu.sym.3_repeat,9.67726,7.67254,9.67726,pcu,0.620065
DB0-m2_o1_o3_f0_nbo.sym.5_repeat,16.22866,10.4991,16.22866,nbo,0.361913
DB0-m2_o1_o2_f0_pcu.sym.15_repeat,7.50901,5.33337,7.15852,pcu,0.953848
DB0-m2_o1_o2_f0_pcu_repeat,9.46557,7.57105,9.46557,pcu,0.624941
DB0-m2_o1_o2_f0_pcu.sym.22_repeat,6.41186,5.72697,6.41186,pcu,0.789942
DB0-m2_o1_o2_f0_nbo.sym.84_repeat,13.24545,8.89607,13.24545,nbo,0.444857
DB0-m2_o1_o3_f0_nbo.sym.13_repeat,15.76407,10.41995,15.76407,nbo,0.351244
DB0-m2_o1_o3_f0_nbo.sym.46_repeat,14.83097,10.4455,14.83097,nbo,0.410599
DB0-m2_o1_o3_f0_nbo.sym.71_repeat,13.13774,8.03243,13.13774,nbo,0.541686
DB0-m2_o1_o3_f0_nbo.sym.92_repeat,15.29101,10.36389,15.29101,nbo,0.47474
DB0-m2_o1_o3_f0_nbo.sym.38_repeat,16.01238,9.522,16.01238,nbo,0.444195
DB0-m2_o1_o2_f0_pcu.sym.7_repeat,8.94472,7.37713,8.94472,pcu,0.771384
DB0-m2_o1_o3_f0_pcu.sym.12_repeat,8.58055,7.56163,8.58055,pcu,0.837942
DB0-m2_o1_o3_f0_nbo.sym.29_repeat,14.02247,10.41871,14.02247,nbo,0.372914
DB0-m2_o1_o3_f0_nbo.sym.100_repeat,11.89428,8.07871,10.73079,nbo,0.398843
DB0-m2_o1_o2_f0_pcu.sym.18_repeat,7.81837,6.87224,7.78011,pcu,1.02703
DB0-m2_o1_o3_f0_nbo.sym.8_repeat,15.67537,9.17894,15.67537,nbo,0.399548
DB0-m2_o1_o2_f0_nbo_repeat,16.40178,10.46468,16.40163,nbo,0.356365
DB0-m2_o1_o3_f0_nbo.sym.57_repeat,13.62201,6.57417,13.62201,nbo,0.471573
DB0-m2_o1_o3_f0_nbo.sym.98_repeat,15.83925,10.4222,15.83925,nbo,0.396631
DB0-m2_o1_o3_f0_nbo.sym.67_repeat,14.91439,8.59535,14.91439,nbo,0.450162
DB0-m2_o1_o3_f0_nbo.sym.50_repeat,17.42223,10.3974,17.42223,nbo,0.374616
DB0-m2_o1_o3_f0_nbo.sym.32_repeat,15.95391,9.99158,15.95391,nbo,0.443431
DB0-m2_o1_o2_f0_pcu.sym.28_repeat,8.62235,7.30405,8.62235,pcu,0.862907
DB0-m2_o1_o3_f0_nbo.sym.84_repeat,15.38757,9.19126,15.38757,nbo,0.526427
DB0-m2_o1_o3_f0_pcu.sym.15_repeat,8.93618,7.57034,8.91881,pcu,0.626485
DB0-m2_o1_o3_f0_nbo.sym.107_repeat,16.10957,6.85986,16.10957,nbo,0.482212
DB0-m2_o1_o3_f0_nbo.sym.19_repeat,15.70674,9.71575,15.70674,nbo,0.390232
DB0-m2_o1_o3_f0_pcu.sym.1_repeat,9.48981,7.56171,9.47089,pcu,0.578112
DB0-m2_o1_o3_f0_nbo.sym.23_repeat,15.49338,10.47673,15.49338,nbo,0.354866
DB0-m2_o1_o2_f0_nbo.sym.83_repeat,16.32731,9.92157,16.32731,nbo,0.410713
DB0-m2_o1_o3_f0_nbo.sym.14_repeat,16.6844,10.20909,16.6844,nbo,0.395154
DB0-m2_o1_o3_f0_pcu.sym.18_repeat,6.55988,5.21439,6.55988,pcu,0.720429
DB0-m2_o1_o3_f0_nbo.sym.89_repeat,16.3296,10.56924,16.3296,nbo,0.349081
DB0-m2_o1_o3_f0_nbo.sym.2_repeat,16.22726,10.40335,15.59935,nbo,0.332122
DB0-m2_o1_o2_f0_pcu.sym.12_repeat,8.31746,7.13351,8.31746,pcu,0.720717
DB0-m2_o1_o2_f0_pcu.sym.25_repeat,8.06894,7.16813,8.03223,pcu,0.984767
DB0-m2_o1_o3_f0_nbo.sym.90_repeat,16.18154,6.92922,16.18154,nbo,0.476742
DB0-m2_o1_o3_f0_pcu.sym.4_repeat,8.74178,7.47386,8.74178,pcu,0.901354
DB0-m2_o1_o3_f0_nbo.sym.7_repeat,16.53272,10.48619,16.53272,nbo,0.356985
DB0-m2_o1_o2_f0_pcu.sym.17_repeat,7.05449,6.31033,7.0308,pcu,0.846843
DB0-m2_o1_o3_f0_nbo.sym.11_repeat,16.24338,9.68211,16.24338,nbo,0.381553
DB0-m2_o1_o3_f0_nbo.sym.26_repeat,16.25299,8.90522,16.25299,nbo,0.416497
DB0-m2_o1_o2_f0_nbo.sym.86_repeat,16.33588,9.51123,16.33588,nbo,0.44495
DB0-m2_o1_o3_f0_nbo.sym.73_repeat,15.61693,9.35428,15.61693,nbo,0.474988
DB0-m2_o1_o3_f0_nbo.sym.55_repeat,13.27543,10.43884,13.27543,nbo,0.393439
DB0-m2_o1_o3_f0_pcu.sym.9_repeat,8.73879,7.48698,8.73855,pcu,0.698238
DB0-m2_o1_o2_f0_pcu.sym.31_repeat,8.71691,7.32332,8.71691,pcu,0.999156
DB0-m2_o1_o2_f0_pcu.sym.5_repeat,8.84483,7.23394,8.84483,pcu,0.853136
DB0-m2_o1_o3_f0_nbo.sym.49_repeat,16.21532,9.63616,16.21532,nbo,0.374371
DB0-m2_o1_o3_f0_pcu.sym.10_repeat,9.14844,7.6159,9.14844,pcu,0.753182
DB0-m2_o1_o3_f0_nbo.sym.102_repeat,15.38119,10.48827,15.38119,nbo,0.383651
DB0-m2_o1_o2_f0_nbo.sym.85_repeat,16.39244,9.6237,16.39244,nbo,0.441863
DB0-m2_o1_o3_f0_nbo.sym.12_repeat,16.20626,9.66272,16.20626,nbo,0.335165
DB0-m2_o1_o3_f0_nbo.sym.47_repeat,14.59391,10.37739,14.59391,nbo,0.467545
DB0-m2_o1_o3_f0_nbo.sym.70_repeat,16.50611,10.43038,16.50611,nbo,0.543693
DB0-m2_o1_o3_f0_nbo.sym.4_repeat,16.24627,10.41038,16.24627,nbo,0.423308
DB0-m2_o1_o2_f0_pcu.sym.14_repeat,9.15338,7.42185,9.15338,pcu,0.716206
DB0-m2_o1_o2_f0_pcu.sym.23_repeat,7.22613,5.59849,7.22613,pcu,1.03727
DB0-m2_o1_o2_f0_nbo.sym.8_repeat,15.92629,10.19993,15.92629,nbo,0.424066
DB0-m2_o1_o3_f0_nbo.sym.39_repeat,12.96574,7.27246,12.96574,nbo,0.637722
DB0-m2_o1_o3_f0_pcu.sym.7_repeat,9.75177,7.75376,9.75177,pcu,0.665615
DB0-m2_o1_o2_f0_pcu.sym.19_repeat,8.6368,7.02117,8.6368,pcu,0.947104
DB0-m2_o1_o2_f0_nbo.sym.77_repeat,16.37353,6.71346,16.37352,nbo,0.468112
DB0-m2_o1_o3_f0_nbo.sym.82_repeat,16.10882,5.9463,16.10882,nbo,0.448945
DB0-m2_o1_o3_f0_nbo.sym.9_repeat,15.58628,9.10218,15.5813,nbo,0.404471
DB0-m2_o1_o2_f0_pcu.sym.6_repeat,8.84828,7.26912,8.84828,pcu,0.78974
DB0-m2_o1_o3_f0_pcu.sym.13_repeat,8.66238,7.35898,8.59447,pcu,1.3396
DB0-m2_o1_o3_f0_nbo.sym.28_repeat,14.54861,10.35859,13.87149,nbo,0.434154
DB0-m2_o1_o2_f0_nbo.sym.88_repeat,14.61538,8.20798,14.61538,nbo,0.471993
DB0-m2_o1_o3_f0_nbo.sym.101_repeat,16.20626,7.90338,16.20626,nbo,0.397914
DB0-m2_o1_o2_f0_pcu.sym.32_repeat,8.91964,7.31377,8.91964,pcu,0.839166
DB0-m2_o1_o3_f0_nbo.sym.56_repeat,12.86794,8.01583,12.86794,nbo,0.470397
DB0-m2_o1_o3_f0_nbo.sym.34_repeat,15.67127,10.55592,15.67127,nbo,0.394445
DB0-m2_o1_o3_f0_pcu.sym.16_repeat,7.50645,5.94983,7.44203,pcu,0.719602
DB0-m2_o1_o3_f0_nbo.sym.78_repeat,15.30357,10.40824,15.30357,nbo,0.399494
DB0-m2_o1_o2_f0_pcu.sym.3_repeat,8.93249,7.26658,8.93249,pcu,0.805828
DB0-m2_o1_o3_f0_nbo.sym.104_repeat,14.85284,10.10272,14.85284,nbo,0.435349
DB0-m2_o1_o3_f0_nbo.sym.53_repeat,13.48706,7.42512,13.48621,nbo,0.503233
DB0-m2_o1_o3_f0_nbo.sym.31_repeat,14.98698,10.42576,14.98698,nbo,0.44791
DB0-m2_o1_o3_f0_nbo.sym.1_repeat,16.22068,10.49229,16.22068,nbo,0.310977
DB0-m2_o1_o2_f0_pcu.sym.26_repeat,7.77553,7.36533,7.76956,pcu,0.774825
DB0-m2_o1_o2_f0_pcu.sym.11_repeat,8.57009,7.28361,8.57009,pcu,0.844438
DB0-m2_o1_o3_f0_nbo.sym.109_repeat,16.09038,7.25172,16.09038,nbo,0.397939
DB0-m2_o1_o3_f0_nbo.sym.17_repeat,16.29355,9.90029,16.29355,nbo,0.388563
DB0-m2_o1_o3_f0_nbo.sym.20_repeat,16.29773,8.61505,16.29773,nbo,0.442942
DB0-m2_o1_o2_f0_nbo.sym.80_repeat,16.21136,7.58419,16.21136,nbo,0.47193
DB0-m2_o1_o3_f0_nbo.sym.96_repeat,16.30835,7.25071,16.2741,nbo,0.50506
DB0-m2_o1_o3_f0_pcu.sym.2_repeat,9.33926,6.13438,9.33926,pcu,0.623812
DB0-m2_o1_o3_f0_nbo.sym.69_repeat,16.25532,10.5171,16.25532,nbo,0.496811
DB0-m2_o1_o3_f0_nbo.sym.59_repeat,15.94841,9.75753,15.94841,nbo,0.472185
DB0-m2_o1_o3_f0_nbo.sym.91_repeat,14.76657,9.24375,14.76656,nbo,0.474177
DB0-m2_o1_o3_f0_pcu.sym.5_repeat,8.23714,7.09042,8.23714,pcu,0.737357
DB0-m2_o1_o3_f0_nbo.sym.10_repeat,17.44916,9.49854,17.44916,nbo,0.360463
DB0-m2_o1_o2_f0_nbo.sym.87_repeat,13.53797,7.23834,13.53797,nbo,0.581131
DB0-m2_o1_o3_f0_nbo.sym.27_repeat,16.27196,10.52827,16.27192,nbo,0.371818
DB0-m2_o1_o2_f0_pcu.sym.9_repeat,9.02721,7.32929,9.02721,pcu,0.735081
DB0-m2_o1_o3_f0_nbo.sym.72_repeat,15.56533,9.48033,15.56533,nbo,0.472478
DB0-m2_o1_o3_f0_nbo.sym.45_repeat,14.24804,10.57876,14.24804,nbo,0.603095
DB0-m2_o1_o3_f0_nbo.sym.6_repeat,17.47384,10.49405,17.47384,nbo,0.414225
DB0-m2_o1_o2_f0_pcu.sym.16_repeat,7.92355,7.2233,7.92355,pcu,0.82757
DB0-m2_o1_o3_f0_pcu.sym.8_repeat,9.51371,7.62031,9.48581,pcu,0.635254
DB0-m2_o1_o2_f0_pcu.sym.30_repeat,8.94901,7.33731,8.94901,pcu,0.761949
DB0-m2_o1_o3_f0_nbo.sym.54_repeat,16.25751,8.97176,15.28463,nbo,0.393102
DB0-m2_o1_o3_f0_nbo.sym.63_repeat,16.18857,10.29531,15.22249,nbo,0.399183
DB0-m2_o1_o2_f0_nbo.sym.7_repeat,15.30757,9.0335,15.30757,nbo,0.418795
DB0-m2_o1_o3_f0_nbo.sym.36_repeat,16.24841,10.37963,16.24841,nbo,0.37317
DB0-m2_o1_o2_f0_pcu.sym.4_repeat,9.45934,7.64324,9.45934,pcu,1.06819
DB0-m2_o1_o3_f0_pcu.sym.11_repeat,9.15523,7.55843,9.15523,pcu,0.637104
DB0-m2_o1_o3_f0_nbo.sym.103_repeat,16.66795,7.96324,16.66747,nbo,0.376942
DB0-m2_o1_o3_f0_nbo.sym.33_repeat,14.24777,7.05556,14.24777,nbo,0.646996
DB0-m2_o1_o3_f0_pcu.sym.14_repeat,7.67445,6.7593,7.67445,pcu,0.875637
DB0-m2_o1_o3_f0_nbo.sym.18_repeat,16.24133,9.86488,16.24133,nbo,0.363791
DB0-m2_o1_o2_f0_pcu.sym.29_repeat,8.53379,7.25557,8.53379,pcu,0.765178
DB0-m2_o1_o3_f0_nbo.sym.85_repeat,16.41399,9.36524,16.41399,nbo,0.529217
DB0-m2_o1_o3_f0_nbo.sym.94_repeat,15.94227,9.26655,15.94227,nbo,0.442523
DB0-m2_o1_o3_f0_nbo.sym.88_repeat,15.44824,10.44616,15.44824,nbo,0.351865
DB0-m2_o1_o3_f0_nbo.sym.3_repeat,13.78858,10.44389,13.78858,nbo,0.42347
DB0-m2_o1_o2_f0_pcu.sym.13_repeat,8.58221,7.29383,8.58221,pcu,0.7679
DB0-m2_o1_o2_f0_pcu.sym.24_repeat,8.84735,7.49202,8.84735,pcu,0.880198
DB0-m2_o1_o2_f0_nbo.sym.82_repeat,16.30504,6.87723,16.30504,nbo,0.475143
DB0-m2_o1_o3_f0_nbo.sym.22_repeat,16.27275,9.25931,16.27275,nbo,0.356302
DB0-m2_o1_o3_f0_nbo.sym.15_repeat,16.27626,10.49762,16.27626,nbo,0.442956
DB0-m2_o1_o3_f0_nbo.sym.77_repeat,16.14241,10.55072,16.14241,nbo,0.439989
